category,experiment,single_variable_changed,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_winner,average_loser,largest_winner,largest_loser,max_consecutive_losses,status,reason
BASELINE,Current professional strategy,none,212,-0.0010094628635891612,0.5518867924528302,0.9195570498056533,0.002200754525616525,-0.037865552100266035,0.21571422999347595,-0.037865552100266035,0.7843049955539808,-1.0504334897376013,1.465286161710275,-1.1540563219940965,5,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
COST_DIAGNOSTIC,Estimated zero spread/slippage,transaction costs only,212,0.0015753348531653,0.5518867924528302,1.1403333067492138,0.0013380403119246413,0.059713687710034616,0.2835376397732127,0.059713687710034616,0.8792147031578064,-0.9495665102624842,1.6233568687719315,-0.9861209969655531,5,FAIL,profit factor below 1.25; walk-forward windows unstable
A_TP_SL,1R fixed target,exit policy,211,-0.0038888999795172463,0.45023696682464454,0.7422829530832352,0.0038888999795172463,-0.14841277509131962,-1.0222572526182652,-0.14841277509131962,0.9494158470051236,-1.047496560428924,0.9927789840771915,-1.1540563219940965,7,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
A_TP_SL,1.5R fixed target,exit policy,211,-0.002659999084905551,0.3791469194312796,0.8446742555712342,0.0031415373208786863,-0.10101941016241013,-1.0293263404853967,-0.10101941016241013,1.44891567456335,-1.0475446527430272,1.4927789840772043,-1.1540563219940965,8,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
A_TP_SL,2R fixed target,exit policy,211,-0.004019946250132023,0.2985781990521327,0.791676014887657,0.004486869221159993,-0.15315211158421063,-1.0321291259426244,-0.15315211158421063,1.9492749762403798,-1.0481041827527862,1.9927789840771915,-1.1577420553470936,10,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
A_TP_SL,3R fixed target,exit policy,210,-0.006486108415526437,0.2,0.7033821381082457,0.007008315842569611,-0.24894273558855562,-1.0373686789886443,-0.24894273558855562,2.951640749279867,-1.0490886068056615,2.9927789840771917,-1.1577420553470936,16,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
A_TP_SL,Partial at 1R then final at 2R,exit policy,211,-0.0037186037715885023,0.45023696682464454,0.754627656609005,0.003865188101528366,-0.1413037703519831,-1.0222572526182652,-0.1413037703519831,0.9652053206893342,-1.047496560428924,1.4927789840771915,-1.1540563219940965,7,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
A_TP_SL,Partial at 1R then final at 3R,exit policy,210,-0.004271211539022657,0.44761904761904764,0.7178990451063638,0.0042976503477025205,-0.1632284498742699,-1.0224393577553268,-0.1632284498742699,0.9279960269804097,-1.047496560428924,1.9927789840771917,-1.1540563219940965,7,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
A_TP_SL,No breakeven move,exit policy,211,-0.003960315540992521,0.2985781990521327,0.7415915719029127,0.004020871735166393,-0.15078244333776514,-1.0222572526182652,-0.15078244333776514,1.4492749762403798,-0.8318879665365699,1.4927789840771915,-1.1540563219940965,10,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
A_TP_SL,Breakeven only after 1.5R,exit policy,211,-0.003528041694055961,0.3791469194312796,0.7683426499831321,0.003651115840168172,-0.13419476561264662,-1.0222572526182652,-0.13419476561264662,1.1739156745633514,-0.933040835949134,1.4927789840771915,-1.1540563219940965,8,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
B_TIME_SESSION,London only,session,125,-0.00010623733081915887,0.576,0.9864627736018196,0.001321744732408176,-0.006003396269049545,0.2243181452838947,-0.006003396269049545,0.7594960791929174,-1.0459272119909668,1.4556091126676776,-1.0931567737760757,5,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
B_TIME_SESSION,New York only,session,29,-0.0013908328642805445,0.4482758620689655,0.5489266930267125,0.001403184931997342,-0.26366280559724253,-1.0261415693979972,-0.26366280559724253,0.7157654594535438,-1.0594482709510062,1.440808632177666,-1.1438496230690087,4,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
B_TIME_SESSION,London + New York overlap only,session,58,5.242655655468553e-05,0.5517241379310345,1.0134697016266598,0.001049205328820654,0.006364635356807277,0.3405755968908104,0.006364635356807277,0.8679692439071756,-1.0540718059359535,1.465286161710275,-1.1540563219940965,5,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
B_TIME_SESSION,Exclude Asian session,session,212,-0.0010094628635891612,0.5518867924528302,0.9195570498056533,0.002200754525616525,-0.037865552100266035,0.21571422999347595,-0.037865552100266035,0.7843049955539808,-1.0504334897376013,1.465286161710275,-1.1540563219940965,5,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
B_TIME_SESSION,Exclude Friday,day of week,174,-0.0006747766145298595,0.5574712643678161,0.93323431990164,0.0021415503046146715,-0.03105563285635455,0.21571422999347595,-0.03105563285635455,0.778673369702643,-1.0511038568592477,1.465286161710275,-1.1540563219940965,9,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
B_TIME_SESSION,Exclude first 15 minutes of session open,session-open exclusion,204,-0.000677567269131929,0.5588235294117647,0.9428315794935462,0.002020947633634991,-0.026514577209960727,0.2262274923104246,-0.026514577209960727,0.7825064926131247,-1.051274598985869,1.465286161710275,-1.1540563219940965,6,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
C_PAIR,EURUSD only,pair,41,-1.1769627885405143e-05,0.5609756097560976,1.0006057267791446,0.0026082599577981567,0.00028103007163717236,0.2281368393369545,0.00028103007163717236,0.8275514895723938,-1.0567867792904408,1.4426120279509422,-1.1438496230690087,2,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; walk-forward windows unstable
C_PAIR,GBPUSD only,pair,62,5.853589551962912e-06,0.5806451612903226,1.0016468381287922,0.00385126261438385,0.0007224057504094652,0.343985651858541,0.0007224057504094652,0.7567180511239536,-1.0460407955360365,1.3766431312277372,-1.1160395084007804,4,FAIL,fewer than 200 trades; profit factor below 1.25
C_PAIR,AUDUSD only,pair,28,7.440169393246876e-05,0.5357142857142857,1.0121756116314151,0.0024971270118650957,0.005958315358958244,0.31899251987090793,0.005958315358958244,0.924603088582986,-1.0540164229764584,1.465286161710275,-1.1540563219940965,3,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
C_PAIR,USDJPY only,pair,81,-0.004106337109955782,0.5308641975308642,0.7930600960818907,0.0060372738597649,-0.10185976870086105,0.1151905180429544,-0.10185976870086105,0.7353280011731061,-1.0492038240845603,1.465011453561354,-1.1238635074556484,4,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
C_PAIR,Major pairs combined,pair basket,212,-0.0010094628635891612,0.5518867924528302,0.9195570498056533,0.002200754525616525,-0.037865552100266035,0.21571422999347595,-0.037865552100266035,0.7843049955539808,-1.0504334897376013,1.465286161710275,-1.1540563219940965,5,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
D_STRUCTURE,Require BOS only,structure confirmation,143,0.00021967841317360737,0.5664335664335665,1.0282616472150579,0.0012399023758019614,0.012828845789597003,0.2071103147030572,0.012828845789597003,0.8240333143870094,-1.0469705406037964,1.465286161710275,-1.1540563219940965,5,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
D_STRUCTURE,Require CHoCH only,structure confirmation,69,-0.001402894426292045,0.5217391304347826,0.7172505023362623,0.0018602753109275556,-0.14292785497346047,0.2243181452838947,-0.14292785497346047,0.6949162781796661,-1.0569396365950532,1.465011453561354,-1.1438496230690087,6,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
D_STRUCTURE,Allow either BOS or CHoCH,structure confirmation,212,-0.0010094628635891612,0.5518867924528302,0.9195570498056533,0.002200754525616525,-0.037865552100266035,0.21571422999347595,-0.037865552100266035,0.7843049955539808,-1.0504334897376013,1.465286161710275,-1.1540563219940965,5,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
D_STRUCTURE,Require liquidity sweep plus BOS,structure confirmation,143,0.00021967841317360737,0.5664335664335665,1.0282616472150579,0.0012399023758019614,0.012828845789597003,0.2071103147030572,0.012828845789597003,0.8240333143870094,-1.0469705406037964,1.465286161710275,-1.1540563219940965,5,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
D_STRUCTURE,Require liquidity sweep plus CHoCH,structure confirmation,69,-0.001402894426292045,0.5217391304347826,0.7172505023362623,0.0018602753109275556,-0.14292785497346047,0.2243181452838947,-0.14292785497346047,0.6949162781796661,-1.0569396365950532,1.465011453561354,-1.1438496230690087,6,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
E_ENTRY_ZONE,FVG only,entry zone,80,-0.0006216680961108612,0.5625,0.8747691545323677,0.0021479392462336873,-0.05788168002604256,0.2507824190963923,-0.05788168002604256,0.7187878866278692,-1.0564568371525,1.4447553774756994,-1.1540563219940965,9,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
E_ENTRY_ZONE,Order block only,entry zone,82,0.000258702005259126,0.5609756097560976,1.052854141892493,0.0008346573788564032,0.024146146104696092,0.3358177243175704,0.024146146104696092,0.8574188529271121,-1.0405912015017247,1.465286161710275,-1.0931567737760757,3,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
E_ENTRY_ZONE,FVG + order block confluence,entry zone,50,-0.0008240249621750406,0.52,0.7879243539929989,0.001869758085516211,-0.10753893247516158,0.0800396817399241,-0.10753893247516158,0.7683447056505563,-1.0564128737780227,1.465011453561354,-1.1438496230690087,7,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
E_ENTRY_ZONE,Premium/discount zone only,location filter,12,-0.0008381070822779391,0.4166666666666667,0.5436454520909644,0.0016074273445249013,-0.27980000194835936,-1.0366233940485077,-0.27980000194835936,0.7999674774864148,-1.0510624872589125,1.3841231370477758,-1.0764915940262283,5,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; profit concentrated in one pair; walk-forward windows unstable
E_ENTRY_ZONE,Near higher-timeframe support/resistance,location filter,13,0.0006490995871344385,0.7692307692307693,1.9391431426626617,0.00046127939979653327,0.22442843497001708,0.415231489137644,0.22442843497001708,0.6024199008617235,-1.035543118002338,1.1558527308805389,-1.045511393890986,2,FAIL,fewer than 200 trades; walk-forward windows unstable
F_TREND_FILTER,4H trend only,trend filter,212,-0.0010094628635891612,0.5518867924528302,0.9195570498056533,0.002200754525616525,-0.037865552100266035,0.21571422999347595,-0.037865552100266035,0.7843049955539808,-1.0504334897376013,1.465286161710275,-1.1540563219940965,5,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
F_TREND_FILTER,1H trend only,trend filter,131,0.000567016029381584,0.5877862595419847,1.0756051950364187,0.0010469482773871098,0.03281899452103454,0.3422579446528372,0.03281899452103454,0.7943412115587823,-1.05305527792168,1.4556091126676776,-1.1540563219940965,4,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
F_TREND_FILTER,Both 4H and 1H aligned,trend filter,131,0.000567016029381584,0.5877862595419847,1.0756051950364187,0.0010469482773871098,0.03281899452103454,0.3422579446528372,0.03281899452103454,0.7943412115587823,-1.05305527792168,1.4556091126676776,-1.1540563219940965,4,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
F_TREND_FILTER,EMA 50/200 trend,trend filter,146,-0.0016010501721845927,0.5273972602739726,0.8233413607225187,0.0024616707917637978,-0.08761478404737495,0.12777118593050873,-0.08761478404737495,0.7742559960832543,-1.0494126111496713,1.465286161710275,-1.1438496230690087,5,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
F_TREND_FILTER,Market-structure trend,trend filter,137,3.5338798799466886e-05,0.5766423357664233,1.0044403271641043,0.0014648157808982742,0.0019728384429906717,0.2930989668795162,0.0019728384429906717,0.7739166115357992,-1.049467818011007,1.465286161710275,-1.1540563219940965,5,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
