strategy_family,variant,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes,zero_cost_profit_factor,zero_cost_expectancy,oos_trades,oos_return,oos_profit_factor,oos_expectancy,status,reason
TREND_CONTINUATION,EMA_PULLBACK_1R,8962,-0.7580737063669811,0.4169828163356394,0.5208007247013088,0.7582295855046634,-0.3255646899481294,-1.0848863195400351,-0.3255646899481294,26.639700959607232,0.9933773142943533,-0.0033203186763596346,2039,-0.2732122958038422,0.5261845814755756,-0.32040155723908037,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
TREND_CONTINUATION,EMA_PULLBACK_1.5R,8932,-0.752837576501686,0.33419167039856695,0.5825786586657664,0.7532792950686367,-0.322695655403097,-1.1040185810253091,-0.322695655403097,41.494066278549035,0.9901286372252972,-0.005934810038291276,2035,-0.2648009886663285,0.5970548430993826,-0.30846153778514124,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
TREND_CONTINUATION,EMA_PULLBACK_2R,8898,-0.7493849050492882,0.2807372443245673,0.6181149046453147,0.7495228099759756,-0.31818430321339886,-1.112708516935817,-0.31818430321339886,53.28276017082491,0.9900623439285139,-0.006616837371048877,2021,-0.26752880022753134,0.6224394926288638,-0.3137772150261727,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
MEAN_REVERSION,BOLLINGER_TO_MEAN,1049,-0.1034707529278518,0.3336510962821735,0.7311045852571252,0.1034707529278518,-0.20977022914216148,-1.115741397227627,-0.20977022914216148,51.86844613918017,1.2536886866228507,0.15576714217189302,318,-0.03410920872568324,0.7268503462982219,-0.2165883030588347,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; zero-cost edge does not survive costs; walk-forward/OOS instability
BREAKOUT,ASIAN_RANGE_CLOSE,8885,-0.6941907156376659,0.3393359594822735,0.6207824787787872,0.6959516890101014,-0.2836247629496147,-1.0859139153559663,-0.2836247629496147,20.60438942037141,0.976859412747217,-0.013978112156922117,2170,-0.287146423238797,0.584539998928945,-0.31721615878620146,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
BREAKOUT,ASIAN_RANGE_RETEST,6198,-0.5858975146043341,0.335108099386899,0.6069516575103098,0.5866046139691014,-0.29632713674661737,-1.0886444153396053,-0.29632713674661737,19.709583736689254,0.958621663202792,-0.0251876027607398,1549,-0.22635607628272492,0.5673569628265276,-0.33393553955153615,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
BREAKOUT,LONDON_OPEN_CLOSE,11084,-0.7895913434967324,0.3335438469866474,0.6035655733571581,0.7905852675079564,-0.29929526310760096,-1.0883291432610853,-0.29929526310760096,18.927733670155177,0.9556807982813496,-0.026985278795912435,2792,-0.3706438916881247,0.560420506457227,-0.34150710091296,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
BREAKOUT,LONDON_OPEN_RETEST,7916,-0.6760977984846115,0.33678625568468923,0.609670435751141,0.6767464923168696,-0.293363750225681,-1.0884473659603595,-0.293363750225681,18.907276402223346,0.9532029606126055,-0.028502652379475787,2102,-0.2900444689487902,0.5725605230819637,-0.32911514190887736,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
BREAKOUT,NEW_YORK_OPEN_CLOSE,7741,-0.8002450106059197,0.2987986048314171,0.4743855408348029,0.8002450106059197,-0.43172998113004,-1.11545166546198,-0.43172998113004,61.89639581449425,0.8494329520976543,-0.09451913657605683,1978,-0.38962966811095157,0.41307595058618585,-0.5053914774421242,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
BREAKOUT,NEW_YORK_OPEN_RETEST,4520,-0.5880087707751261,0.3108407079646018,0.5066845892993249,0.5881936962690624,-0.39635982821973287,-1.1100827030543132,-0.39635982821973287,54.92588495575221,0.8920410367089455,-0.06654024664977698,1130,-0.22466610494267747,0.45403801192426857,-0.4555483093848536,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
VOLATILITY_EXPANSION,COMPRESSION_BREAK_1.5R,11007,-0.9265976590764051,0.2908149359498501,0.42888254491027994,0.9265976590764051,-0.4993172678596411,-1.1705049908011753,-0.4993172678596411,27.651494503497773,0.8897900880397503,-0.0690551034293547,2758,-0.47877125560625533,0.4438791378982354,-0.48094996324329975,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
VOLATILITY_EXPANSION,COMPRESSION_BREAK_2R,10925,-0.9269899887776504,0.24219679633867278,0.46111320471712486,0.9269899887776504,-0.5029017787773106,-1.18010230715111,-0.5029017787773106,39.80091533180778,0.8960393181129946,-0.07162004956171499,2750,-0.49065362031349957,0.46619267022536326,-0.49649809026221636,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
SUPPORT_RESISTANCE,HTF_REJECTION,3818,-0.2928322135300514,0.3771608171817706,0.736413315002964,0.29559972643954935,-0.1825561746795611,-1.0643662449691362,-0.1825561746795611,89.23258250392875,1.098752112024125,0.05625343106601903,961,-0.09169934877043007,0.7152204402902159,-0.19946348212397563,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; zero-cost edge does not survive costs; walk-forward/OOS instability
VWAP_SESSION_MEAN,TREND_PULLBACK,12131,-0.8906753330181513,0.32363366581485453,0.5138887500196293,0.8906753330181513,-0.39846170523381574,-1.1414461776087301,-0.39846170523381574,22.147390981782213,1.0224220541529347,0.013300219773510947,2931,-0.4253088929829728,0.5244600809626063,-0.38740695475230513,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; zero-cost edge does not survive costs; walk-forward/OOS instability
VWAP_SESSION_MEAN,RANGE_REVERSION,3491,-0.4557311504931141,0.2924663420223432,0.5650327791570247,0.45665217958086646,-0.3512403266433605,-1.101938572079105,-0.3512403266433605,42.98195359495846,0.9541534864005676,-0.029758336821364098,996,-0.16887984460096772,0.5465119872043626,-0.37261948342456347,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
COST_AWARE_SCALPING,SHORT_HOLD_REJECTION,11798,-0.9045183189022761,0.3886251907102899,0.42023970378655895,0.904552421170652,-0.42715894165100926,-1.1224437274768677,-0.42715894165100926,5.695880657738599,0.9788447005754471,-0.010554130797861423,2945,-0.48583041980532093,0.38814941428651556,-0.46684631427312073,FAIL,profit factor below 1.25; non-positive cost-adjusted expectancy; maximum drawdown above 15%; walk-forward/OOS instability
